0	-0.73413	-3.6318
0.033	-0.66467	-3.606
0.066	-0.57503	-3.5442
0.1	-0.55659	-3.5007
0.133	-0.54882	-3.5615
0.166	-0.52991	-3.6217
0.2	-0.49376	-3.6602
0.233	-0.4166	-3.6628
0.266	-0.26506	-3.718
0.3	-0.19388	-3.7815
0.333	-0.15015	-3.7827
0.367	-0.12372	-3.8184
0.4	-0.097148	-3.8368
0.433	-0.087212	-3.818
0.467	-0.081626	-3.8394
0.5	-0.062641	-3.8369
0.533	-0.016742	-3.8373
0.567	0.041598	-3.8947
0.6	0.08136	-3.8927
0.633	0.15212	-3.9192
0.667	0.21389	-3.9373
0.7	0.2839	-3.9351
0.734	0.36735	-3.9551
0.767	0.41252	-3.9369
0.8	0.37811	-3.8918
0.834	0.39591	-3.6782
0.867	0.45716	-3.6052
0.9	0.49728	-3.674
0.934	0.51505	-3.7254
0.967	0.51517	-3.7345
1.001	0.51174	-3.7122
1.034	0.53062	-3.7194
1.067	0.52074	-3.6844
1.101	0.51786	-3.705
1.134	0.5074	-3.7179
1.167	0.50284	-3.6943
1.201	0.52623	-3.6801
1.234	0.57936	-3.6608
1.267	0.65373	-3.6775
1.301	0.64818	-3.8134
1.334	0.663	-3.846
1.368	0.67347	-3.857
1.401	0.70043	-3.8937
1.434	0.66633	-3.915
1.468	0.59368	-3.9353
1.501	0.56618	-3.9511
1.534	0.50499	-3.9337
1.568	0.46574	-3.9451
1.601	0.32284	-3.8383
1.634	0.26269	-3.7522
1.668	0.25777	-3.7549
1.701	0.29524	-3.7861
1.735	0.29139	-3.7989
1.768	0.30149	-3.7889
1.801	0.30953	-3.7796
1.835	0.31489	-3.72
1.868	0.3352	-3.7074
1.901	0.3426	-3.7072
1.935	NaN	NaN
1.968	0.33239	-3.936
2.002	0.31844	-3.8601
2.035	0.32644	-3.8391
2.068	0.35676	-3.7678
2.102	0.41505	-3.6797
2.135	0.47605	-3.6425
2.168	0.53758	-3.6064
2.202	0.5899	-3.5946
2.235	0.62385	-3.5846
2.268	0.63804	-3.5527
2.302	0.66844	-3.5566
2.335	0.70472	-3.5584
2.369	0.75261	-3.5495
2.402	0.82934	-3.5748
2.435	0.8864	-3.6244
2.469	0.95811	-3.6521
2.502	1.02	-3.6966
2.535	1.0918	-3.7628
2.569	1.1697	-3.8432
2.602	1.1922	-3.9103
2.635	1.2086	-3.9023
2.669	1.1927	-3.8562
2.702	1.2032	-3.8909
2.736	1.2165	-3.9029
2.769	1.2158	-3.9043
2.802	1.2234	-3.9331
2.836	1.1944	-3.8369
2.869	1.1577	-3.8551
2.902	1.0864	-3.8727
2.936	1.028	-3.8521
2.969	0.96031	-3.8383
3.003	0.94126	-3.8203
3.036	0.96801	-3.8282
3.069	0.961	-3.8466
3.103	0.9333	-3.8199
3.136	0.93617	-3.7825
3.169	0.99808	-3.8486
3.203	1.0482	-3.9265
3.236	1.031	-3.9394
3.269	0.99142	-3.9713
3.303	0.97245	-3.9684
3.336	0.91298	-3.9839
3.37	0.86398	-3.9937
3.403	0.80077	-3.9725
3.436	0.74325	-3.984
3.47	0.65585	-3.972
3.503	0.58549	-3.9721
3.536	0.50158	-3.9732
3.57	0.41425	-3.9533
3.603	0.33041	-3.9465
3.636	0.22587	-3.9436
3.67	0.1633	-3.9169
3.703	0.089679	-3.919
3.737	0.011275	-3.9168
3.77	-0.053124	-3.8548
3.803	-0.12312	-3.8802
3.837	-0.1291	-3.8607
3.87	-0.152	-3.8461
3.903	-0.20817	-3.8635
3.937	-0.28367	-3.8434
3.97	-0.35408	-3.8156
4.004	-0.43509	-3.8072
4.037	-0.4824	-3.756
4.07	-0.55264	-3.7365
4.104	-0.64945	-3.7254
4.137	-0.68326	-3.6767
4.17	-0.72934	-3.6762
4.204	-0.80904	-3.6511
4.237	-0.85268	-3.5972
4.27	-0.90959	-3.6003
4.304	-0.93936	-3.5845
4.337	-0.97589	-3.5494
4.371	-0.96466	-3.584
4.404	-0.97246	-3.5649
4.437	-1.0013	-3.5396
4.471	-1.0302	-3.5501
4.504	-1.0923	-3.5229
4.537	-1.1297	-3.4954
4.571	-1.1406	-3.4961
4.604	-1.1715	-3.4583
4.637	-1.1901	-3.4509
4.671	-1.1915	-3.4414
4.704	-1.1748	-3.3271
4.738	NaN	NaN
4.771	-1.4064	-3.2034
4.804	-1.4552	-3.0965
4.838	-1.4717	-3.1237
4.871	-1.4859	-3.1314
4.904	-1.4901	-3.1221
4.938	-1.5085	-3.1184
4.971	-1.4862	-3.1058
5.005	-1.5156	-3.0866
5.038	-1.5312	-3.148
5.071	-1.4992	-3.1036
5.105	-1.4789	-3.168
5.138	-1.5502	-3.1746
5.171	-1.6458	-3.0709
5.205	-1.6682	-3.0761
5.238	-1.6362	-3.0508
5.271	-1.686	-3.0302
5.305	-1.6928	-3.0628
5.338	-1.7312	-2.9971
5.372	-1.7396	-2.9579
5.405	-1.7481	-2.9244
5.438	-1.7302	-2.852
5.472	-1.7064	-2.8095
5.505	-1.6636	-2.7535
5.538	-1.6249	-2.6535
5.572	-1.5876	-2.6102
5.605	-1.5167	-2.627
5.638	-1.436	-2.5999
5.672	-1.3326	-2.6246
5.705	-1.2419	-2.6154
5.739	-1.1489	-2.5897
5.772	-1.0568	-2.6377
5.805	-0.97852	-2.6571
5.839	-0.88974	-2.7096
5.872	-0.81148	-2.8119
5.905	-0.73682	-2.8532
5.939	-0.67496	-2.9075
5.972	-0.61187	-2.9878
6.006	-0.53833	-3.049
6.039	-0.46232	-3.1255
6.072	-0.4038	-3.2283
