0	-3.8821	0.080437
0.033	-3.8747	0.13193
0.066	-3.8781	0.22146
0.1	-3.8796	0.28978
0.133	-3.8859	0.35241
0.166	-3.9087	0.42781
0.2	-3.9182	0.48032
0.233	-3.9111	0.50894
0.266	-3.9108	0.5408
0.3	-3.9085	0.53366
0.333	-3.9106	0.53013
0.367	-3.9094	0.54364
0.4	-3.9087	0.53591
0.433	-3.9154	0.54301
0.467	-3.9199	0.55488
0.5	-3.9189	0.5493
0.533	-3.9177	0.54489
0.567	-3.9188	0.55221
0.6	-3.9252	0.55308
0.633	-3.9329	0.55432
0.667	-3.9341	0.57092
0.7	-3.9493	0.56515
0.734	-3.9468	0.57309
0.767	-3.9475	0.56947
0.8	-3.9466	0.56775
0.834	-3.932	0.57332
0.867	-3.9119	0.77518
0.9	-3.8609	0.94229
0.934	-3.8557	0.95879
0.967	-3.8607	0.94487
1.001	-3.8635	0.95175
1.034	-3.8495	1.0053
1.067	-3.8268	1.0335
1.101	-3.8268	1.0509
1.134	-3.8137	1.0972
1.167	-3.8116	1.0938
1.201	-3.8128	1.0994
1.234	-3.8099	1.11
1.267	-3.7928	1.1441
1.301	-3.7673	1.2432
1.334	-3.7398	1.3327
1.368	-3.7103	1.4449
1.401	-3.6873	1.5038
1.434	-3.6702	1.5647
1.468	-3.6479	1.6269
1.501	-3.6349	1.6727
1.534	-3.6344	1.6992
1.568	-3.6355	1.705
1.601	-3.6351	1.7104
1.634	-3.6365	1.7046
1.668	-3.6313	1.7077
1.701	-3.6309	1.6909
1.735	-3.6355	1.6977
1.768	-3.6355	1.7048
1.801	-3.6441	1.7017
1.835	-3.5879	1.7244
1.868	-3.3474	1.7904
1.901	-3.3133	1.8327
1.935	-3.315	1.8561
1.968	-3.3126	1.8538
2.002	-3.3249	1.878
2.035	-3.3296	1.931
2.068	-3.3422	1.9707
2.102	-3.3542	1.9947
2.135	-3.3572	2.0311
2.168	-3.3548	2.0477
2.202	-3.3492	2.1048
2.235	-3.3151	2.201
2.268	-3.2771	2.3151
2.302	-3.2353	2.4139
2.335	-3.2029	2.4851
2.369	-3.1833	2.5597
2.402	-3.168	2.6305
2.435	-3.1518	2.681
2.469	-3.12	2.7469
2.502	-3.0892	2.7691
2.535	-3.0633	2.7897
2.569	-3.0322	2.8341
2.602	-3.0023	2.8775
2.635	-2.9662	2.8945
2.669	-2.9387	2.9014
2.702	-2.9206	2.9281
2.736	-2.8803	2.9914
2.769	-2.89	3.0565
2.802	-2.8718	3.0706
2.836	-2.8608	3.0858
2.869	-2.8174	3.1137
2.902	-2.8181	3.1192
2.936	-2.807	3.1332
2.969	-2.8036	3.1159
3.003	-2.8226	3.1152
3.036	-2.8236	3.1181
3.069	-2.7957	3.1258
3.103	-2.7722	3.1597
3.136	-2.7378	3.1832
3.169	-2.7087	3.2025
3.203	-2.6778	3.2431
3.236	-2.6595	3.2389
3.269	-2.6532	3.2345
3.303	-2.617	3.2949
3.336	-2.5559	3.3395
3.37	-2.4915	3.3893
3.403	-2.4017	3.4553
3.436	-2.3124	3.5054
3.47	-2.2232	3.5729
3.503	-2.1386	3.6246
3.536	-2.0673	3.6522
3.57	-1.9958	3.693
3.603	-1.9435	3.7246
3.636	-1.8906	3.7244
3.67	-1.8929	3.7054
3.703	-1.8716	3.6467
3.737	-1.8191	3.6144
3.77	-1.824	3.6256
3.803	-1.8049	3.6414
3.837	-1.7927	3.6551
3.87	-1.7711	3.6898
3.903	-1.754	3.7242
3.937	-1.7555	3.7259
3.97	-1.7403	3.7349
4.004	-1.7051	3.7186
4.037	-1.6644	3.7381
4.07	-1.5889	3.7664
4.104	-1.5275	3.7727
4.137	-1.4608	3.812
4.17	-1.3609	3.8253
4.204	-1.2602	3.8295
4.237	-1.1664	3.8413
4.27	-1.0544	3.8519
4.304	-0.95456	3.8491
4.337	-0.83873	3.8609
4.371	-0.72978	3.8719
4.404	-0.6021	3.9051
4.437	-0.48514	3.9527
4.471	-0.38581	3.9762
4.504	-0.29079	4.0035
4.537	-0.2295	4.02
4.571	-0.18293	4.0149
4.604	-0.16476	4.0196
4.637	-0.13103	4.0042
4.671	-0.051691	3.9579
4.704	0.041277	3.8864
4.738	0.10064	3.8075
4.771	0.13836	3.7419
4.804	0.18863	3.6935
4.838	0.25486	3.6381
4.871	0.32638	3.5869
4.904	0.37967	3.545
4.938	0.45276	3.4933
4.971	0.53431	3.4307
5.005	0.6172	3.3666
5.038	0.71554	3.334
5.071	0.79464	3.3018
5.105	0.89218	3.2365
5.138	0.97199	3.1829
5.171	1.034	3.1738
5.205	1.083	3.1687
5.238	1.118	3.1582
5.271	1.1628	3.1306
5.305	1.1996	3.1221
5.338	1.2302	3.1205
5.372	1.2725	3.094
5.405	1.3303	3.0517
5.438	1.431	2.9851
5.472	1.4938	2.9336
5.505	1.5704	2.9005
5.538	1.6512	2.8541
5.572	1.7361	2.7806
5.605	1.8066	2.7713
5.638	1.8708	2.732
5.672	1.9639	2.671
5.705	2.0629	2.6313
5.739	2.1853	2.5842
5.772	2.2914	2.5501
5.805	2.3752	2.5203
5.839	2.4726	2.4781
5.872	2.5587	2.4424
5.905	2.6351	2.4284
5.939	2.7087	2.3966
5.972	2.7385	2.383
6.006	2.7787	2.3612
6.039	2.7836	2.3642
6.072	2.7864	2.3715
6.106	2.82	2.3532
6.139	2.8849	2.3453
6.172	2.9233	2.3595
6.206	2.9472	2.3627
6.239	2.9849	2.3692
6.272	3.0031	2.3657
6.306	3.0037	2.3629
6.339	3.0046	2.3767
6.373	3.0011	2.3695
6.406	2.9886	2.3722
6.439	3.0063	2.3932
6.473	3.0467	2.4068
6.506	3.0801	2.4199
6.539	3.0982	2.4361
6.573	3.1213	2.4253
6.606	3.1365	2.429
6.639	3.1486	2.4384
6.673	3.1155	2.4132
6.706	3.0809	2.4119
6.74	3.0961	2.4293
6.773	3.0817	2.4227
6.806	3.0856	2.4227
6.84	3.0876	2.4443
6.873	3.1028	2.4578
6.906	3.0919	2.4547
6.94	3.0843	2.4406
6.973	3.0851	2.4367
7.007	3.0851	2.4443
7.04	3.0511	2.4091
7.073	2.913	2.3315
7.107	2.9067	2.3074
7.14	2.9405	2.2952
7.173	2.938	2.3161
7.207	2.9358	2.2952
7.24	2.9251	2.2655
7.273	2.9184	2.2617
7.307	2.8987	2.2387
7.34	2.8946	2.2221
7.374	2.8566	2.1818
7.407	2.804	2.1026
7.44	2.7454	2.047
7.474	2.6733	1.9734
7.507	2.6307	1.9033
7.54	2.6048	1.8808
7.574	2.5693	1.867
7.607	2.5196	1.8459
7.64	2.4869	1.8424
7.674	2.4386	1.8047
7.707	2.414	1.8156
7.741	2.3615	1.8322
7.774	2.3159	1.8154
7.807	2.2709	1.813
7.841	2.2417	1.8194
7.874	2.243	1.8162
7.907	2.2349	1.8153
7.941	2.2107	1.7989
7.974	2.1815	1.7806
8.008	2.1709	1.8051
8.041	2.1477	1.8015
8.074	2.1285	1.7996
8.108	2.08	1.8034
8.141	1.9895	1.8039
8.174	1.8915	1.8188
8.208	1.791	1.8381
8.241	1.6802	1.843
8.274	1.6025	1.8582
8.308	1.4816	1.8741
8.341	1.3905	1.8602
8.375	1.269	1.8961
8.408	1.2011	1.9108
8.441	1.134	1.9025
8.475	1.064	1.9099
8.508	0.9899	1.8999
8.541	0.91776	1.891
8.575	0.83781	1.9226
8.608	0.7359	1.924
8.641	0.61631	1.9394
8.675	0.50628	1.9526
8.708	0.38688	1.9817
8.742	0.26424	1.9873
8.775	0.15469	2.0109
8.808	0.05021	2.0283
8.842	-0.056303	2.0545
8.875	-0.14588	2.0435
8.908	-0.2621	2.0636
8.942	-0.35918	2.0965
